title,author,content
Reflection in Stainless Steel Mirror Diorama with Accordion Fold,Tarik Dobbs,
"Scene, with Etymologies",Shook,"





They say we name what
we value.

And the act of naming tends to be,
if not the first, the foundational of violences.

They say we map what
we care to find.
✷
And they need not even say that the inverse is also true.               ✷









They say that the name Texas comes from the Hasinai language:
from the word táysha’, which means “friend.”
  
 
 They say it was used as a greeting between friends.
  
 
 And the Hasinai were expelled from the State of Texas in 1859.
  
 
 And of the tongues that still greet táysha’                                    
 
there remain just twenty-five.                                                    
 ✷








They say that the US Border Patrol recorded more migrant deaths in the
fiscal year 2021 than in any prior year on record.

And of the states along this country’s southern border, not one
maintains a comprehensive registry of the deceased.

And in just one of the four
does anyone devote themself
to the cartography of the forgotten.









✷                                                     
They say that the name New Mexico was first declared on July 12th, 1598, at
the confluence of the Chama and the Rio Grande.
  
 
 They say that Juan de Oñate y Salazar, who declared it, hoped to find other
riches—others’ riches—greater than those of the Mexica to the south.
  
 
 And one year later, his soldiers demanded from the Acoma the supplies
 
necessary to survive the winter.                                                 
 
And when they resisted because ceding to the demand would mean      
 
accepting their own death, Oñate decreed the murder of 800 of the      
 
Acoma, the enslavement of the remaining 500 women and children,      
 
and the amputation of the right foot of the 80 surviving men.                 
  
 
 They say that the wounded antelope will keep walking until it collapses in
the sand.
  
 
 And in 1997 in the city of Alcalde, the Friends of Acoma amputated        
 
Oñate’s bronze foot, still adorned with spur and stirrup.










They say that the name Arizona comes from the O’odham language:
from the word alĭ ṣonak, which means “small spring.”

And almost half of the remains scattered across the immense
barrier of the desert are found in the territory of the Tohono
O’odham Nation.

They say that it originally referred to the Bolas de Plata region, brief pride
of the Spaniards during the first half of the eighteenth century, today a few
kilometers south of the border.

And the majority of their deaths are caused by exposure to
the elements, exhaustion, and lack of drinkable water.

They say that it’s an official strategy to push migrants into the most
unforgiving territories.

And agents are taught to trample the caches of water stashed
there by volunteers.
✷                                                                                                                               ✷
✷








They say that the name California comes from the Arabic:
.خلیفھ.
  
 
 They say that it came to us by means of a poet, Garci Rodríguez de Mantalvo,
who in the sixteenth century coined a variant of the world khalīfa to name
an island he invented in one of his novels:
  
 
 Sabed que ala diestra mano de las Indias ouo una Isla llamada California
 
mucho llegada ala parte ✷del paraiso terrenal la qual sue poblada de           
 
mugeres negras sin que algun varó entre ellas ouiesse: que casi como las      
 
amazonas.                                                                                             
  
 
 They say that the Spanish, at seeing it for the first time, thought that the
peninsula of Baja California was an island brimming with riches and
infidels.
  
 
 And though it’s not an island, children still drown attempting to cross       
 
✷  the hungry furrow that divides it in two.                                         ✷     
✷                                                           ✷                                      
✷







They say that it’s the most dangerous body of water in the entire country:

                                                         The All-American Canal.

 They say that not even an Olympic swimmer could beat the current.

                                         And the canal is a cemetery
                                         too ephemeral to map.

                                         In Imperial County’s common grave
                                         hundreds of bricks commemorate

                                         its defeated pilgrims,
                                         each Doe a fallen domino,

                                         each buried dream
                                         a snuffed-out star,

                                         the parched sky                                                   ✷
                                        their only witness.     ✷                                                 
                                                                          ✷                               ✷
                                                                                 ✷

The All-American Canal.

They say that not even an Olympic swimmer could beat the current.

And the canal is a cemetery
too ephemeral to map.

In Imperial County’s common grave
hundreds of bricks commemorate

its defeated pilgrims,
each Doe a fallen domino,

each buried dream
a snuffed-out star,

the parched sky                                                   ✷
their only witness.     ✷
✷                               ✷
✷"
Black Woman Selling Her Home in America,Patricia Jabbeh Wesley,"After the show, I can reenter my home
and take myself  back.
From room to room, I examine my home
to see if the possible buyers
did not take a piece of shredded
carpet with them, did not pull down a window blind,
and yes, the television is still standing.

But through the box walls, I feel their fingernails
rising out of the corners of my rooms,
their presence, these strangers, these spies,
these unknown people who have walked
through my home,
have touched my private places in my home,
done this abominable thing of touring

my bedroom, my sleeping place, where at night
I revisit my ancestors
over and over. My bedroom, where I can steal
away at night and meet
my mother in the other world.
In my country, you do not sell your home.
You do not sell your home to strangers.

You do not move away so others can possess
your possessions. You plant feet
and umbilical cords deep. I have been
selling my home for a year now.
I have been selling myself for years now,
and my possible buyers do not seem to see
the house they cannot see.

Sometimes I wish my home was not as black
as me, that the skin
of my aluminum sidings were not gray
or black like me. After the show,
I come back home, walking like a broken
woman. I walk in fearfully,
letting myself into my own home

in small particles of dust. I walk in like
you walk into a haunted house,
holding onto foot and arm. Sometimes, I can
see their large eyes, these buyers, who
walk in with ugly coats, who come in,
their prying eyes, afraid something may spring
at them when they finally move into my home."
Bodhisattvas at the Beach in November,Monica Sok,"You can bring half that Gouda in your fridge if you want.

I’ll bring a persimmon, my cutting board, and knife.

But first golden chrysanthemums at the farmers market, cut at the stem
and wrapped in butcher paper.

What about this olive bread—Oh yes, get this olive bread. Cash only.
Do you have cash? All right, fine. I have cash.

On 580 toward San Francisco, we talk about the imbecile men
who have rejected us lately.

Sister, sex is nothing to be embarrassed about.

Sister, the more  you tell me about him the less I like him.

Hold my hand as we descend this hill of sand and hidden rocks.

Bodhisattvas at the beach are each other’s bitches but not everybody’s,
though we vow to return many lifetimes
until not one being is suffering, not even one blade of grass.

Let’s lay the mat somewhere—you pick a spot—and drink margaritas.

You change from hiking boots into sandals and bare feet.
I still have on my socks. Bitches don’t get cold.

1 sliced apple, 4 dates, 2 mandarins, a few square coconut crackers—
the kind that comes stale,
the kind my mom buys and leaves in my cupboard.

I  feel really bad for your mom. I mean ... I  feel really bad for my mom too!

A white dog walks up to us. A black dog sits next to our shoes.
They go when their owners call them back.

Next time I want a basket to bring to the beach. What kind of basket?
A wicker basket with a lid.

Oh and a separate basket for the wine bottle and wine glasses.
I want a basket for fruit. I want that too.

You and I with separate lighters burn incense sticks,
our bodies huddling over the flames
to keep them going against November wind.

I’m done praying before you’re done praying.

Bitch, I’m envious that you’re still praying.

As you chant to yourself quietly, as the scent of sandalwood snakes toward us,
I lie down watching two tiny crustaceans from wet sand
skip onto the mat.

What is your purpose? Do you mean my purpose in life ? I’m a bodhisattva.
I am too. I know.

I’m not here to change anybody. Or tell anybody what’s best for them.

I know why the sun is out today. Because yesterday it rained.

Are you sure you want to wear boots? Instead of your sandals?
I’m rolling up my pants to walk to the water.
Whatever we try to prevent from happening, will happen.

The tide rushes toward us. It knows we are here.

Now my pants are wet up to my calves
and your boots are completely soaked,
but the chrysanthemums are floating in the ocean.

Our small offering.

I love you. I love you too.

Let me put on my socks and sneakers to climb the steep hill with you,
huffing and puffing, and not without laughter.

I’m getting better at accepting myself and others and the way things are.

Look at the sunset beyond the pink ice plants. Yes, I see.

Look at this spray-painted bench high off the ground. It has character.
If you say so. Character.

The air smells like basil. Or mint. I told you this in the beginning
when we first got here. It’s eucalyptus.

I can’t remember the last time I held someone’s hand. Bitch, it was me.
In January. Before lockdown.

It seemed like a lifetime ago. It was many lifetimes ago."
Bubu the Bunny,Qiang Meng,"My girlfriend adopts a rabbit,
and we name him Bubu Dostoevsky Luo.
Luo is my girlfriend’s last name.
Luo bu means radish in Chinese.
Dostoevsky is a writer I like.

Bubu never writes in the first month,
although his modest nose twitching
implies a burning interest in language.

My girlfriend and I speak Chinese at home
but feel obliged to rethink this practice
like every immigrant household:

She points out that Bubu
is an American bunny,
and he needs to fit into society.

Poor Bubu. Will he grow up ignorant of the story
behind the Mooncake Festival,
meaning of his own name,
locations of Beijing and Shanghai—
which one is farther north?
And Guangzhou, Wuhan, Chengdu
where people cook (Bubu should be aware!)
spicy marinated rabbit heads.

Do we take Bubu to church on Sunday?
Wedding ceremony sans fresh longans,
grave adorned with a cute wood cross?

Other bunnies carrying Easter egg baskets
may ask Bubu to talk about his family.
What will they call Bubu in his absence?
How does Bubu see himself?

In the long 21st century, Bubu may meet
some communist bunny from China.
Will Bubu return her accented greeting
with a perplexed smile,
or will they sniff and pass each other—
a fluffy moon at its perigee?

Yes, Bubu is born so American
he can easily run for president.
Thank God he hasn’t expressed a zeal
for proposing tax reforms
or deporting Russian spies.

Bubu munches orchard hay.
From behind I see a fierce typist at work.
The paper balls he throws away
hang in the sky as crumpled clouds.

Or is Bubu an underground radio operator,
who keeps sending the Morse code of wonder
(now his antennae ears are up)
to somewhere far, far away?

No matter which language Bubu the bunny
adopts to write his early oeuvre,
we will always love him, support him, and make sure
he doesn’t travel alone to Chengdu."
Claws of the Sea,Madeleine Wattenberg,
Dream of Low Houses,Max Schleicher,"I was there; and the river
was there everywhere;
in the glue
of dead leaves and dew stuck to its shores;
in the cracked cement sides;
in the old valley walls
widened by quarries that are gone now
and quarrymen that are gone now too;
in the roads;
in the snail tracks;
in the accumulations
of stringed earplugs; in curbside cigarettes
left from graveyard shifts;
in low houses with plastic
on front windows
to seal themselves from foundry dust;
in the explosion at Falk
Corporation that dented the fire station door
a mile and a half away;
in the fish
flat as butter knives that die gasping
after following big ships
from north on the Lake,
(dying
they are not used to the warmth
of the harbor);
in the coyote that limps in the quarry carveout
to sun himself on Christmas morning;
in the fox that eats the birds that die
frozen to the Lake in a snap; and in the light
that seems to change monthly
though I know it never
changes in that way.

I was there
with a friend
at the Protestant shelter
that gave us food for believing
we were not to blame for the state of our lives
and for accepting the state of  Lord  Jesus Christ
as we prayed and slept in a dormitory with 20
bunks full of men flatulent or masturbating
and I saw the invisible heart of  Jesus Christ
like a  jellyfish it stung me
like ticks I had it
in the seams of my jeans
like an arrowhead it dug into the flesh above
my ankle. And I told Jesus, listen, if you come by me
use the side door or the back, never the front,
the side or the back is for family."
The End of Crisis,Cindy Juyoung Ok,"When you leap over the deer carcasses
that line every garden, you will marvel
at their tidiness, at how bloodless a death
by drought can be. When I crawl through
the highway pieces shattered by heat,
I will admire the clean slits as I kick
aside crumbles of broken stone with little
blistering. When you thread between
the overtaken shores and bodies of elders,
frozen, when I follow the fallen saplings’
directions toward the horizon where
colorless sky and earth meet, we will
remember rippling at the birthday parties
for corporations and framing the ash
of beloved photos burnt in wildfire. When
we think of crossing the river to each
other, you from the gorge of the landslide
to me at the crest of the typhoon, it is then
we will find ourselves in a dead imaginary,
in some fictive past where the  you exists,
where I   is not a myth we use to keep
surviving at the cost of bird and glacier,
home and tenderness. Having ruined
the future of  becoming fossils, finally
we will know that it is for nothing we
die, never in place of drowned sea
turtles or swarming locusts, or to foil
cancerous sand and mold, not even for
the dance of subway floods or the graceless
eclipse of all our promises and planets."
Escenografía etimológica,Shook,"




Dicen que lo que se valora
se nombra.

Y el acto de nombrar suele ser,
si no la primera, la primordial de las violencias.

Dicen que lo que se quiere hallar
se cartografia.

✷
Y ni hay que decir que lo contrario también es verdad.       ✷








Dicen que el nombre de Texas viene del idioma hasinai:
de la palabra táysha’, que significa ‘amigo’.
  
 
 Dicen que se usaba como un saludo entre amigos.
  
 
 Y los hasinai fueron expulsados del estado de Texas en 1859.
  
 
 Y de las bocas que saludan táysha’                                      
hoy quedan veinticinco.                                                     
  
 
 ✷









Dicen que la Patrulla Fronteriza de los Estados Unidos registró más muertes de
migrantes en el año fiscal 2021 que en cualquier otro año con registro.

Y de los estados fronterizos en el sur de este país, no hay ninguno que
mantiene una bitácora comprehensiva de los fallecidos.

Y en sólo uno de los cuatro
hay quienes se dedican
a la cartografía de los olvidados.









✷                                    
Dicen que el nombre de Nuevo México fue declarado por primera vez el 12 de
julio del año 1598, en la confluencia de los ríos Bravo y Chama.
  
 
 Dicen que su declarante, Juan de Oñate y Salazar, esperaba encontrar otras
riquezas —las riquezas de otros— , superiores a las de los mexica al sur.
  
 
 Y un año después, sus soldados demandaron de los acoma los          
 
suministros necesarios para sobrevivir el invierno.                          
 
Y cuando resistieron porque acceder sería aceptar su propia             
 
muerte, Oñate decretó la matanza de 800 de los acoma, la             
 
esclavitud de los 500 mujeres y niños restantes y la amputación del  
 
pie derecho de los 80 hombres sobrevivientes.                                  
  
 
 Dicen que el antí lope herido caminará sin cesar hasta caerse en la arena.
  
 
 Y en 1997, en la ciudad de Alcalde, a Oñate los Amigos de Acoma. 
 
le amputaron un pie de bronce, adornado aún con espolón y estribo.






Dicen que el nombre de Arizona viene del idioma o’odham:
de la frase alĭ ṣonak, que significa ‘fuente pequeña’.

Y casi la mitad de los restos esparcidos por la inmensa barrera del
desierto se encuentran en el territorio de la Nación Tohono O’odham.

Dicen que originalmente se refirió a la región de Bolas de Plata, breve orgullo
de los españoles ✷  durante la primera mitad del siglo XVIII, hoy en día
unos cuantos kilómetros al sur de la frontera.

Y la mayoría de sus muertes son a causa de exposición a la intemperie,
cansancio y falta de agua potable.

Dicen que es una estrategia oficial empujar migrantes hacía los territorios
más implacable.

Y a los agentes se les enseña pisotear las provisiones de agua
proporcionadas en aquellos lugares por los voluntarios.
✷                                                                                                                     ✷
         ✷
✷








Dicen que el nombre de California viene del árabe:
    .خلیفھ 
Dicen que nos llegó por medio de un poeta, Garci Rodríguez de Montalvo, que
en el siglo XVI acuño un variante de la palabra halīfah para nombrar a una isla
que inventó en una de sus novelas:
  
 
  Sabed que ala diestra mano de las Indias ouo una Isla llamada California   
 
mucho llegada ala parte ✷del paraiso terrenal la qual sue poblada de              
 
mugeres negras sin que algun varó entre ellas ouiesse: que casi como las          
 
amazonas ...                                                                                             
  
 
 Dicen que los españoles, al verla por primera vez, pensaron que la peninsula de
Baja California era una isla rebosante de riquezas e infieles.
  
 
 Y aunque no es isla, aún se ahogan los niños que intentan cruzar el surco    
 
    ✷   hambriento que la divide en dos.                                                              
✷                                                                                                                         ✷
 
✷                                                                            
 
✷








Dicen que es el cuerpo de agua más peligroso en todo el país:

The All-American Canal.

Dicen que ni un nadador olímpico podría ganarle a la corriente.

Y el canal es un cementerio
demasiado efímero para cartografiar.

Y en la fosa común del condado de Imperial,
cientos de ladrillos conmemoran

sus peregrinos vencidos,
cada Doe un dominó caído,

cada sueño enterrado
un astro extinguido,

el cielo reseco del desierto
su único testigo.               ✷                                                   ✷
✷                                          ✷
✷"
Flyway,Romeo Oriogun,"There is no light that holds the dead
in beauty like the light before nightfall,
that evening abundance of grace
luring the wild geese to stop on their way
to Mexico, bringing all that is gone
into a moment of homecoming.
I had walked through it once.
It was December, the cold was beginning,
and here in Ames, Africans at the crossroad
of life, refugees and migrants, were getting
ready to meet at a makeshift bar assembled
in a basement and named after a famous donkey
in Khartoum, so they said, where the rhumba
would wild out of speakers and we would seek
what those at crossroads seek: touch and joy,
sight and the safety of bodies. I had taken
my time before getting on the bus heading
to the bar. Walking down Coconino,
the dogs were out, blades of grass faded,
man-made lakes were filled with geese like airports
on water. Even in the midst of so much beauty
there is no place that will save us. Our destination
is between suffering and joy, everything else is a road
filled with unending patience. And even I, a nomad,
who has witnessed so much of the world,
will be forgotten before I reach the veranda
of my homeland, and yet as I watched the last light
of evening, waiting for the bus, I saw them, the dead,
descending on wings, joining the birds to play
in water like little children, laughing into joy,
and then they were gone. All that was left
was the only freedom we could speak without shame,
the weather, winter, the harmony of all things."
From “A Self to Hold the Self”,Rajiv Mohabir,"You broke from
my branch to fly.

Without you I’m lost
to Maya. This dooryard treeless.

Shade and illusion
join limbs
to hammock the path.

What are mother, father, brother, nephew
but whispers of my own self;

in the next world
what of relation?

Saiya, whose is this hand;
whose is that hand?

____

aasa versus aafat
which precedes the other?

hope and pain
so simple the word substitution

like a body possessed by spirit
one incarnation
another incarnation—

Which courtyard which tree?
Only gaps then
gasps.

____

’E mean fe seh how me punish you been go ’wat—gan from hiya. Me na get none kine mine fe do nutin’.

Me see de whole place empty fe so, yuh gan an’ na get non place fe me siddung.

Me mai-baap na deh, me bhai ke pickni na deh.

Na sas, sasur, nephew none bady na deh.

So come so done.

Me mus hol’ me own han’.

____

____

Dark friend or self
hope or despair in velvet
loneliness—

No plant reaches from here
to the sky;

this is not a house
nor a court.

To think of descent:
who comes after
the eye, watching the dream,

the mind watching the eye
the letter into sense.

A self to hold the self,
warm skin on warm
skin?

____

Moon na deh Chanda Mamu
dur gaile an’ black black ratiya lef’ hiya.

De eart’ de mati barren
na mud na man deh.

Mati mean fe seh
none ground none soil.

Mati mean fe seh
none bady none jahaj-bhai

na deh.

So talk plain—
whe’ an’ how tree go grow

when abi na get tree dis side?

____

____

A bitter leafed tree
greens between the cracks of hope
and pain; blues berries.

____

Only at night
between wake or thought,
between tree and leaf,

flesh to sinew grafted
as night to moon.

What is illumination without
ligament?
Why trouble imagery:

a ship wheel to steer
into the Unreal.
Yes, I’ve studied Vedanta,

my own bone crown
sutured and sutured and sure

until like a leaf my
chlorophyll burned

first fire then gold—

a metaphor for waking,
a new body’s eyes glint
by pyre light."
From “Con R: An Act for Making”,Madeleine Wattenberg,
The Grain,Chad Bennett,
Handwriting,Fatemeh Shams,"You can tell from my uneven hand
from the hunched back of my “Shin”
from the crooked lines of my “Noon”
I’m under the lash of forgetting my native script.

I walk
toward the sea, toward the words
sinking low
then lower.

Break this hand that refuses to admit
it’s a thousand times harder to wander from tongue to tongue
than land to land.
 Translated from the Persian"
Healing Will Come: Elegy after Natural Disaster,Patricia Jabbeh Wesley,"She searches the ruins like someone
who has wandered so far away.

Six children, I had six children,
she tells herself. All around, her world
has become twigs of splintered pieces
of a long-ago life,
not so long ago.

She lays down one child alongside another
child, alongside another,
but then, she stands there, wiping her
eyes, looking ahead, turning over

the ruins of pieces of a place that once
was, in the ruins of a life that once was.
But they were six children, she says,
six, dead, or alive.

A mother knows what it means
to have six, not three, but six living
children, not three only, dead,
and there, the tears, calming for now,
calming, for now.
Always.

What would I do without tears,
I used to ask myself in another world.
What would she do without tears,
I now ask myself, and now,
the water from her eyes, unlike
the water that has taken
everything away with it.

Somewhere, always, somewhere,
there’s a day when healing comes.
Wasn’t this what life was supposed to bring,
after death, the healing?
Healing refuses to be lost to death,
I say, healing will come."
The Heart As,Heather Nagami,"


"
Like a Ping Pong Ball,Jill Zheng,
nub,Tarik Dobbs,
Prelude,Ae Hee Lee,"I don’t deny it. I’ve taken the dagger
of my tongue and gently
run it over your ear. I’ve often

thought Umma, said Mother, thought
it wasn’t my mother whom I’d spoken about—
all this without you suspecting me,

I’d like to think. I’ve whispered Te quiero to actually mean
I want you. I had to use a  Japanese word, ginko, to explain
in English my first time seeing the splitting yellow
fans of eun-haeng leaves in Korea.

There’s so much of the past in these
choices. Let me tell you

how I wished for a long, unfractured life:
I slurped noodles, threaded
needles. But again and again I dreamt
I was a series of footprints
pressed deep into the earth, covered in snow.

I told my parents about this, saying:
나는 hilo의 삶을 바랬어요
조심스럽고 잘리지 않게 자라고싶었어요. 하지만 soñé
que me había vuelto muchos 발자국들, 땅에 깊이 눌려진 발자국들,
cubiertos de nieve.

Do you trust me? Trust me,
just in the beginning. Then translate
me for yourself, question me

unsparingly like a sparrow
to another sparrow about breadcrumbs."
Red Meat: Fragments of Stesichoros,Anne Carson,"I. GERYON

Geryon was a monster everything about him was red
Put his snout out of the covers in the morning it was red
How stiff the red landscape where his cattle scraped against
Their hobbles in the red wind
Burrowed himself down in the red dawn jelly of Geryon's
Dream

Geryon's dream began red then slipped out of the vat and ran
Upsail broke silver shot up through his roots like a pup

Secret pup At the front end of another red day



II. MEANWHILE HE CAME

Across the salt knobs it was Him
Knew about the homegold
Had sighted red smoke above the red spires



III. GERYON'S PARENTS

If you persist in wearing your mask at the supper table
Well Goodnight Then they said and drove him up
Those hemorrhaging stairs to the hot dry Arms
To the ticking red taxi of the incubus
Don't want to go want to stay Downstairs and read



IV. GERYON'S DEATH BEGINS

Geryon walked the red length of his mind and answered No
It was murder And torn to see the cattle lay
All these darlings said Geryon And now me



V. GERYON'S REVERSIBLE DESTINY

His mother saw it mothers are like that
Trust me she said Engineer of his softness
You don't have to make up your mind right away
Behind her red right cheek Geryon could see
Coil of the hot plate starting to glow



VI. MEANWHILE IN HEAVEN

Athena was looking down through the floor
Of the glass-bottomed boat Athena pointed
Zeus looked Him



VII. GERYON'S WEEKEND

Later well later they left the bar went back to the centaur's
Place the centaur had a cup made out of a skull Holding three
Measures of wine Holding it he drank Come over here you can
Bring your drink if you're afraid to come alone The centaur
Patted the sofa beside him Reddish yellow small alive animal
Not a bee moved up Geryon's spine on the inside



VIII. GERYON'S FATHER

A quiet root may know how to holler He liked to
Suck words Here is an almighty one he would say
After days of standing in the doorway
NIGHTBOLLSNORTED



IX. GERYON'S WAR RECORD

Geryon lay on the ground covering his ears The sound
Of the horses like roses being burned alive



X. SCHOOLING

In those days the police were weak Family was strong
Hand in hand the first day Geryon'ş mother took him to
School She neatened his little red wings and pushed him
In through the door



XI. RIGHT

Are there many little boys who think they are a
Monster? But in my case I am right said Geryon to the
Dog they were sitting on the bluffs The dog regarded him
Joyfully



XII. WINGS

Steps off a scraped March sky and sinks
Up into the blind Atlantic morning One small
Red dog jumping across the beach miles below
Like a freed shadow



XIII. HERAKLES' KILLING CLUB

Little red dog did not see it he felt it All
Events carry but one



XIV. HERAKLE'S ARROW

Arrow means kill It parted Geryon's skull like a comb Made
The boy neck lean At an odd slow angle sideways as when a
Poppy shames itself in a whip of Nude breeze



XV. TOTAL THINGS KNOWN ABOUT GERYON

He loved lightning He lived on an island His mother was a
Nymph of a river that ran to the sea His father was a gold
Cutting tool Old scholia say that Stesichoros says that
Geryon had six hands and six feet and wings He was red and
His strange red cattle excited envy Herakles came and
Killed him for his cattle

The dog too



XVI. GERYON'S END

The red world And corresponding red breezes
Went on Geryon did not"
Reflection in Stainless Steel Mirror Diorama with Accordion Fold,Tarik Dobbs,
"Scene, with Etymologies",Shook,"





They say we name what
we value.

And the act of naming tends to be,
if not the first, the foundational of violences.

They say we map what
we care to find.
✷
And they need not even say that the inverse is also true.               ✷









They say that the name Texas comes from the Hasinai language:
from the word táysha’, which means “friend.”
  
 
 They say it was used as a greeting between friends.
  
 
 And the Hasinai were expelled from the State of Texas in 1859.
  
 
 And of the tongues that still greet táysha’                                    
 
there remain just twenty-five.                                                    
 ✷








They say that the US Border Patrol recorded more migrant deaths in the
fiscal year 2021 than in any prior year on record.

And of the states along this country’s southern border, not one
maintains a comprehensive registry of the deceased.

And in just one of the four
does anyone devote themself
to the cartography of the forgotten.









✷                                                     
They say that the name New Mexico was first declared on July 12th, 1598, at
the confluence of the Chama and the Rio Grande.
  
 
 They say that Juan de Oñate y Salazar, who declared it, hoped to find other
riches—others’ riches—greater than those of the Mexica to the south.
  
 
 And one year later, his soldiers demanded from the Acoma the supplies
 
necessary to survive the winter.                                                 
 
And when they resisted because ceding to the demand would mean      
 
accepting their own death, Oñate decreed the murder of 800 of the      
 
Acoma, the enslavement of the remaining 500 women and children,      
 
and the amputation of the right foot of the 80 surviving men.                 
  
 
 They say that the wounded antelope will keep walking until it collapses in
the sand.
  
 
 And in 1997 in the city of Alcalde, the Friends of Acoma amputated        
 
Oñate’s bronze foot, still adorned with spur and stirrup.










They say that the name Arizona comes from the O’odham language:
from the word alĭ ṣonak, which means “small spring.”

And almost half of the remains scattered across the immense
barrier of the desert are found in the territory of the Tohono
O’odham Nation.

They say that it originally referred to the Bolas de Plata region, brief pride
of the Spaniards during the first half of the eighteenth century, today a few
kilometers south of the border.

And the majority of their deaths are caused by exposure to
the elements, exhaustion, and lack of drinkable water.

They say that it’s an official strategy to push migrants into the most
unforgiving territories.

And agents are taught to trample the caches of water stashed
there by volunteers.
✷                                                                                                                               ✷
✷








They say that the name California comes from the Arabic:
.خلیفھ.
  
 
 They say that it came to us by means of a poet, Garci Rodríguez de Mantalvo,
who in the sixteenth century coined a variant of the world khalīfa to name
an island he invented in one of his novels:
  
 
 Sabed que ala diestra mano de las Indias ouo una Isla llamada California
 
mucho llegada ala parte ✷del paraiso terrenal la qual sue poblada de           
 
mugeres negras sin que algun varó entre ellas ouiesse: que casi como las      
 
amazonas.                                                                                             
  
 
 They say that the Spanish, at seeing it for the first time, thought that the
peninsula of Baja California was an island brimming with riches and
infidels.
  
 
 And though it’s not an island, children still drown attempting to cross       
 
✷  the hungry furrow that divides it in two.                                         ✷     
✷                                                           ✷                                      
✷







They say that it’s the most dangerous body of water in the entire country:

                                                         The All-American Canal.

 They say that not even an Olympic swimmer could beat the current.

                                         And the canal is a cemetery
                                         too ephemeral to map.

                                         In Imperial County’s common grave
                                         hundreds of bricks commemorate

                                         its defeated pilgrims,
                                         each Doe a fallen domino,

                                         each buried dream
                                         a snuffed-out star,

                                         the parched sky                                                   ✷
                                        their only witness.     ✷                                                 
                                                                          ✷                               ✷
                                                                                 ✷

The All-American Canal.

They say that not even an Olympic swimmer could beat the current.

And the canal is a cemetery
too ephemeral to map.

In Imperial County’s common grave
hundreds of bricks commemorate

its defeated pilgrims,
each Doe a fallen domino,

each buried dream
a snuffed-out star,

the parched sky                                                   ✷
their only witness.     ✷
✷                               ✷
✷"
Black Woman Selling Her Home in America,Patricia Jabbeh Wesley,"After the show, I can reenter my home
and take myself  back.
From room to room, I examine my home
to see if the possible buyers
did not take a piece of shredded
carpet with them, did not pull down a window blind,
and yes, the television is still standing.

But through the box walls, I feel their fingernails
rising out of the corners of my rooms,
their presence, these strangers, these spies,
these unknown people who have walked
through my home,
have touched my private places in my home,
done this abominable thing of touring

my bedroom, my sleeping place, where at night
I revisit my ancestors
over and over. My bedroom, where I can steal
away at night and meet
my mother in the other world.
In my country, you do not sell your home.
You do not sell your home to strangers.

You do not move away so others can possess
your possessions. You plant feet
and umbilical cords deep. I have been
selling my home for a year now.
I have been selling myself for years now,
and my possible buyers do not seem to see
the house they cannot see.

Sometimes I wish my home was not as black
as me, that the skin
of my aluminum sidings were not gray
or black like me. After the show,
I come back home, walking like a broken
woman. I walk in fearfully,
letting myself into my own home

in small particles of dust. I walk in like
you walk into a haunted house,
holding onto foot and arm. Sometimes, I can
see their large eyes, these buyers, who
walk in with ugly coats, who come in,
their prying eyes, afraid something may spring
at them when they finally move into my home."
